model_id,n_params,gpu_model,tdp_w,train_type,task,downloads,likes,source
lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-MLX-4bit,8000000000.0,,,unknown,text-generation,359275,12,huggingface
stelterlab/Mistral-Small-24B-Instruct-2501-AWQ,24000000000.0,t4,70.0,fine-tune,text-generation,359163,29,huggingface
Helsinki-NLP/opus-mt-en-it,,,,unknown,translation,358941,17,huggingface
lmstudio-community/gemma-4-E4B-it-MLX-8bit,4000000000.0,,,unknown,any-to-any,358408,6,huggingface
microsoft/trocr-base-printed,,,,fine-tune,image-to-text,358047,208,huggingface
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,70000000000.0,t4,70.0,pre-train,text-generation,357994,109,huggingface
snunlp/KR-FinBert-SC,5500000000.0,,,unknown,text-classification,357302,39,huggingface
Qwen/Qwen3.5-27B-GPTQ-Int4,27000000000.0,t4,70.0,unknown,image-text-to-text,357186,55,huggingface
trl-internal-testing/tiny-Qwen3ForCausalLM,,,,unknown,text-generation,356952,1,huggingface
unsloth/GLM-4.7-Flash,30000000000.0,,,pre-train,text-generation,356904,15,huggingface
QuantTrio/Qwen3-Coder-30B-A3B-Instruct-AWQ,30000000000.0,,,pre-train,text-generation,355165,8,huggingface
intfloat/e5-mistral-7b-instruct,7000000000.0,,,fine-tune,feature-extraction,355137,564,huggingface
casperhansen/llama-3.3-70b-instruct-awq,70000000000.0,,,pre-train,text-generation,354971,45,huggingface
VoVanPhuc/sup-SimCSE-VietNamese-phobert-base,135000000000.0,,,pre-train,sentence-similarity,354897,30,huggingface
beomi/kcbert-base,417000000000.0,,,pre-train,fill-mask,354696,31,huggingface
Comfy-Org/ace_step_1.5_ComfyUI_files,,,,unknown,unknown,354691,146,huggingface
google/siglip2-base-patch16-224,,,,pre-train,zero-shot-image-classification,354231,105,huggingface
google-t5/t5-3b,3000000000.0,,,pre-train,translation,353785,53,huggingface
Qwen/Qwen-Image-Edit-2509,,,,pre-train,image-to-image,353170,1164,huggingface
Gherman/bert-base-NER-Russian,,,,fine-tune,token-classification,350316,22,huggingface
tohoku-nlp/bert-base-japanese-whole-word-masking,17000000000.0,,,pre-train,fill-mask,350053,76,huggingface
ncbi/MedCPT-Query-Encoder,255000000000.0,,,pre-train,feature-extraction,349746,61,huggingface
camenduru/dinov3-vitl16-pretrain-lvd1689m,17000000000.0,h100,700.0,pre-train,image-feature-extraction,349603,9,huggingface
kosbu/Llama-3.3-70B-Instruct-AWQ,70000000000.0,,,unknown,text-generation,347570,11,huggingface
tencent/HunyuanOCR,1000000000.0,,,pre-train,image-text-to-text,346955,758,huggingface
Qwen/Qwen2.5-Coder-7B,32000000000.0,,,unknown,text-generation,345745,147,huggingface
cross-encoder/nli-deberta-v3-base,,,,pre-train,zero-shot-classification,345717,46,huggingface
microsoft/deberta-large-mnli,,,,fine-tune,text-classification,345178,32,huggingface
PaddlePaddle/en_PP-OCRv5_mobile_rec,,l4,72.0,unknown,image-to-text,344581,2,huggingface
kha-white/manga-ocr-base,,,,unknown,image-to-text,344517,173,huggingface
upskyy/bge-m3-korean,,,,pre-train,sentence-similarity,343735,64,huggingface
timm/vit_base_patch16_224.augreg2_in21k_ft_in1k,,,,fine-tune,image-classification,343477,13,huggingface
1-800-BAD-CODE/xlm-roberta_punctuation_fullstop_truecase,1000000000.0,a100,400.0,fine-tune,unknown,343392,67,huggingface
thenlper/gte-small,,,,pre-train,sentence-similarity,343110,188,huggingface
ai-forever/ru-en-RoSBERTa,67000000000.0,,,fine-tune,feature-extraction,342882,82,huggingface
Salesforce/blip-vqa-base,,,,pre-train,visual-question-answering,341964,194,huggingface
lmstudio-community/gemma-4-E4B-it-MLX-6bit,4000000000.0,,,unknown,any-to-any,340652,3,huggingface
cyankiwi/Qwen3.5-397B-A17B-AWQ-4bit,397000000000.0,,,unknown,image-text-to-text,340255,2,huggingface
tiiuae/falcon-7b,11000000000.0,a100,400.0,fine-tune,text-generation,339803,1104,huggingface
janhq/Jan-v3.5-4B-gguf,4000000000.0,,,fine-tune,text-generation,339277,18,huggingface
MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,4000000000.0,a100,400.0,fine-tune,zero-shot-classification,339119,366,huggingface
cross-encoder/ms-marco-TinyBERT-L2-v2,,v100,300.0,pre-train,text-ranking,338955,44,huggingface
NeoQuasar/Kronos-Tokenizer-2k,12000000000.0,,,pre-train,time-series-forecasting,337937,5,huggingface
avsolatorio/GIST-Embedding-v0,,,,fine-tune,sentence-similarity,337792,30,huggingface
black-forest-labs/FLUX.1-schnell,12000000000.0,,,pre-train,text-to-image,337454,5070,huggingface
lmstudio-community/gemma-4-E4B-it-MLX-5bit,4000000000.0,,,unknown,any-to-any,336791,0,huggingface
RedHatAI/gemma-3-27b-it-quantized.w4a16,27000000000.0,t4,70.0,pre-train,image-text-to-text,334981,13,huggingface
ibm-granite/granite-timeseries-tspulse-r1,1000000000.0,,,pre-train,unknown,334453,36,huggingface
gigant/romanian-wav2vec2,300000000000.0,,,fine-tune,automatic-speech-recognition,333291,7,huggingface
OpenMuQ/MuQ-large-msd-iter,2000000000.0,,,pre-train,audio-classification,332197,23,huggingface
laion/CLIP-ViT-B-16-laion2B-s34B-b88K,2000000000.0,,,unknown,zero-shot-image-classification,332083,39,huggingface
Qwen/Qwen3-Next-80B-A3B-Instruct,80000000000.0,,,pre-train,text-generation,331175,1026,huggingface
julien-c/dummy-unknown,,,,pre-train,fill-mask,331165,1,huggingface
nvidia/Cosmos-Reason2-8B,8000000000.0,a100,400.0,fine-tune,image-text-to-text,330919,192,huggingface
Qwen/Qwen3-VL-32B-Thinking-FP8,32000000000.0,,,pre-train,image-text-to-text,330310,26,huggingface
PaddlePaddle/PP-DocLayoutV3_safetensors,3000000000.0,l4,72.0,pre-train,object-detection,329735,28,huggingface
answerdotai/ModernBERT-large,149000000.0,h100,700.0,fine-tune,fill-mask,329237,471,huggingface
yuhuili/EAGLE-LLaMA3.1-Instruct-8B,13000000000.0,a100,400.0,unknown,unknown,329127,3,huggingface
mistralai/Voxtral-Mini-3B-2507,3000000000.0,,,pre-train,unknown,328689,655,huggingface
naver/splade-cocondenser-ensembledistil,,,,unknown,feature-extraction,327925,62,huggingface
google/gemma-2-2b-it,2000000000.0,,,pre-train,text-generation,327571,1381,huggingface
bartowski/gemma-2-2b-it-GGUF,2000000000.0,,,unknown,text-generation,327339,97,huggingface
lukealonso/MiniMax-M2.7-NVFP4,230000000000.0,,,unknown,unknown,327043,48,huggingface
BAAI/bge-small-en,,,,fine-tune,feature-extraction,326024,93,huggingface
Helsinki-NLP/opus-mt-en-fr,,,,unknown,translation,325749,67,huggingface
nvidia/NVIDIA-Nemotron-Nano-9B-v2-FP8,9000000000.0,a100,400.0,pre-train,text-generation,325290,9,huggingface
Zyphra/Zamba2-1.2B-instruct,1200000000.0,,,pre-train,text-generation,325274,30,huggingface
NbAiLab/nb-wav2vec2-1b-nynorsk,1000000000.0,,,fine-tune,automatic-speech-recognition,324976,0,huggingface
stepfun-ai/Step-3.5-Flash,11000000000.0,t4,70.0,pre-train,text-generation,324403,820,huggingface
zai-org/GLM-4.5-Air,,,,unknown,text-generation,324401,608,huggingface
unsloth/LTX-2.3-GGUF,22000000000.0,,,unknown,image-to-video,324380,452,huggingface
TIGER-Lab/VLM2Vec-Full,,,,unknown,text-generation,323988,29,huggingface
facebook/sam-vit-huge,1100000000.0,,,pre-train,mask-generation,323791,198,huggingface
Alibaba-NLP/gte-Qwen2-1.5B-instruct,7000000000.0,,,fine-tune,sentence-similarity,323377,234,huggingface
lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-MLX-8bit,8000000000.0,,,unknown,text-generation,323085,18,huggingface
OpenGVLab/InternVL2-8B,1000000000.0,,,pre-train,image-text-to-text,322372,187,huggingface
timm/mobilenetv3_large_100.ra_in1k,,,,pre-train,image-classification,321874,39,huggingface
facebook/dpr-ctx_encoder-single-nq-base,,,,pre-train,unknown,321868,26,huggingface
nvidia/personaplex-7b-v1,7000000000.0,a100,400.0,fine-tune,audio-to-audio,321250,2538,huggingface
lengyue233/content-vec-best,,,,pre-train,unknown,320907,23,huggingface
TencentBAC/Conan-embedding-v1,7000000000.0,,,unknown,unknown,320736,166,huggingface
q-future/one-align,,,,pre-train,zero-shot-image-classification,319975,43,huggingface
kakaocorp/kanana-1.5-v-3b-instruct,3000000000.0,,,pre-train,image-text-to-text,319705,55,huggingface
lmstudio-community/Qwen3.6-35B-A3B-GGUF,35000000000.0,,,unknown,unknown,319316,22,huggingface
boboliu/Qwen3-Reranker-4B-W4A16-G128,4000000000.0,,,unknown,text-classification,318235,2,huggingface
LiheYoung/depth-anything-large-hf,62000000.0,,,pre-train,depth-estimation,317088,62,huggingface
vinai/phobert-base,,,,pre-train,fill-mask,316009,71,huggingface
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,235000000000.0,,,pre-train,text-generation,315742,147,huggingface
unsloth/Qwen3.5-0.8B-GGUF,800000000.0,,,unknown,image-text-to-text,315134,174,huggingface
google/bigbird-roberta-base,,,,pre-train,unknown,314979,62,huggingface
Qwen/Qwen3-Omni-30B-A3B-Thinking,30000000000.0,t4,70.0,fine-tune,any-to-any,313838,304,huggingface
sentence-transformers/msmarco-MiniLM-L6-v3,,,,pre-train,sentence-similarity,313796,15,huggingface
cyankiwi/GLM-4.5-Air-AWQ-4bit,,,,unknown,text-generation,313698,29,huggingface
ibm-granite/granite-embedding-311m-multilingual-r2,7000000.0,h100,700.0,pre-train,feature-extraction,313234,102,huggingface
LifetimeMistake/Qwen3-VL-Embedding-2B-AWQ-4bit,2000000000.0,,,unknown,feature-extraction,312222,1,huggingface
timm/convnext_tiny.in12k_ft_in1k,,rtx 3090,350.0,fine-tune,image-classification,311078,5,huggingface
facebook/mms-tts-hat,,,,pre-train,text-to-speech,310996,4,huggingface
black-forest-labs/FLUX.2-dev,32000000000.0,rtx 4090,450.0,pre-train,image-to-image,309301,1758,huggingface
lightonai/LightOnOCR-2-1B,1000000000.0,h100,700.0,pre-train,image-text-to-text,309272,692,huggingface
comodoro/wav2vec2-xls-r-300m-cs-250,300000000000.0,,,fine-tune,automatic-speech-recognition,308763,3,huggingface
Snowflake/snowflake-arctic-embed-xs,397000000000.0,,,pre-train,sentence-similarity,308623,40,huggingface
nvidia/Llama-4-Scout-17B-16E-Instruct-FP8,17000000000.0,h100,700.0,unknown,unknown,307970,16,huggingface
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,8000000000.0,,,unknown,text-generation,306454,1071,huggingface
lmstudio-community/gemma-4-12B-it-GGUF,12000000000.0,,,unknown,unknown,305970,19,huggingface
Jackrong/Qwopus3.6-27B-v1-preview-GGUF,27000000000.0,t4,70.0,unknown,image-text-to-text,305440,124,huggingface
OpenGVLab/InternVL3-1B-hf,72000000000.0,,,pre-train,image-text-to-text,304952,10,huggingface
answerdotai/answerai-colbert-small-v1,33000000.0,,,pre-train,unknown,304846,160,huggingface
jhu-clsp/mmBERT-base,600000000000.0,,,pre-train,fill-mask,304303,210,huggingface
facebook/wav2vec2-xlsr-53-espeak-cv-ft,,,,fine-tune,automatic-speech-recognition,303291,49,huggingface
LSX-UniWue/LLaMmlein_1B_prerelease,1000000000.0,,,pre-train,text-generation,302189,14,huggingface
jonatasgrosman/wav2vec2-large-xlsr-53-german,,,,fine-tune,automatic-speech-recognition,302017,8,huggingface
argmaxinc/parakeetkit-pro,,,,unknown,automatic-speech-recognition,301420,4,huggingface
dangvantuan/vietnamese-document-embedding,,,,unknown,sentence-similarity,301245,27,huggingface
internlm/internlm2-1_8b-reward,1800000000.0,,,pre-train,text-classification,301177,16,huggingface
datificate/gpt2-small-spanish,1500000000.0,,,fine-tune,text-generation,300526,34,huggingface
openai/privacy-filter,1500000000.0,,,pre-train,token-classification,300155,1627,huggingface
jinaai/jina-colbert-v1-en,137000000.0,,,unknown,unknown,299876,100,huggingface
nvidia/Cosmos-Reason2-2B,2000000000.0,a100,400.0,fine-tune,image-text-to-text,299655,100,huggingface
jinaai/ReaderLM-v2,1500000000.0,t4,70.0,pre-train,text-generation,299562,792,huggingface
nvidia/NVIDIA-Nemotron-Nano-9B-v2-Japanese,9000000000.0,a100,400.0,pre-train,text-generation,299441,138,huggingface
briaai/RMBG-1.4,,t4,70.0,pre-train,image-segmentation,299116,1986,huggingface
timm/edgenext_small.usi_in1k,,,,pre-train,image-classification,298427,6,huggingface
lightx2v/Qwen-Image-Edit-2511-Lightning,,,,unknown,image-to-image,298052,461,huggingface
AutonLab/MOMENT-1-small,,,,pre-train,time-series-forecasting,297794,6,huggingface
microsoft/dit-base,42000000.0,,,fine-tune,unknown,296250,33,huggingface
MaziyarPanahi/Qwen3-0.6B-GGUF,600000000.0,t4,70.0,unknown,text-generation,296036,11,huggingface
mistralai/Mistral-Small-3.1-24B-Instruct-2503,24000000000.0,t4,70.0,fine-tune,unknown,295881,1364,huggingface
protectai/deberta-v3-base-prompt-injection-v2,,,,fine-tune,text-classification,295335,108,huggingface
facebook/m2m100_418M,418000000000.0,,,fine-tune,unknown,295249,341,huggingface
onecxi/open-vakgyata,,,,pre-train,audio-classification,295182,3,huggingface
wkcn/TinyCLIP-ViT-8M-16-Text-3M-YFCC15M,8000000000.0,,,pre-train,zero-shot-image-classification,294472,12,huggingface
boboliu/Qwen3-Embedding-4B-W4A16-G128,4000000000.0,,,unknown,feature-extraction,294279,5,huggingface
NetoAISolutions/T-VEC,1500000000.0,,,fine-tune,unknown,293200,20,huggingface
xbgoose/hubert-large-speech-emotion-recognition-russian-dusha-finetuned,,a100,400.0,fine-tune,audio-classification,292719,15,huggingface
huihui-ai/Qwen2.5-72B-Instruct-abliterated,72000000000.0,,,pre-train,text-generation,292129,51,huggingface
Synaptics/yolo,,,,unknown,unknown,291578,0,huggingface
MaziyarPanahi/Qwen3-4B-GGUF,4000000000.0,t4,70.0,unknown,text-generation,291280,7,huggingface
MaziyarPanahi/Qwen3-8B-GGUF,8000000000.0,t4,70.0,unknown,text-generation,291223,10,huggingface
cloud19/gemma-4-26B-A4B-it-heretic-FP8-Static,26000000000.0,,,unknown,image-text-to-text,291160,4,huggingface
MaziyarPanahi/Qwen3-14B-GGUF,14000000000.0,t4,70.0,unknown,text-generation,291110,10,huggingface
Intel/dpt-hybrid-midas,1400000.0,,,fine-tune,depth-estimation,291008,108,huggingface
HuggingFaceTB/SmolLM3-3B-Base,3000000000.0,h100,700.0,pre-train,text-generation,290326,158,huggingface
OrdalieTech/Solon-embeddings-large-0.1,9000000000.0,,,unknown,feature-extraction,290227,53,huggingface
MaziyarPanahi/Qwen3-1.7B-GGUF,1700000000.0,t4,70.0,unknown,text-generation,289187,7,huggingface
timm/repvgg_a0.rvgg_in1k,,,,pre-train,image-classification,289077,1,huggingface
timm/vit_base_patch16_224.augreg_in21k,,,,pre-train,image-classification,288513,11,huggingface
RedHatAI/gemma-4-31B-it-FP8-Dynamic,31000000000.0,,,unknown,unknown,288499,19,huggingface
DeepBeepMeep/LTX-2,,,,unknown,unknown,288331,21,huggingface
lmstudio-community/Qwen3.6-27B-MLX-4bit,27000000000.0,,,unknown,image-text-to-text,288147,3,huggingface
boltzgen/boltzgen-1,,,,unknown,unknown,287541,5,huggingface
jinaai/jina-embeddings-v2-base-de,33000000.0,,,pre-train,feature-extraction,287036,83,huggingface
timm/wide_resnet50_2.racm_in1k,,,,pre-train,image-classification,286821,2,huggingface
MaziyarPanahi/Qwen3-32B-GGUF,32000000000.0,t4,70.0,unknown,text-generation,286036,2,huggingface
MaziyarPanahi/Qwen3-30B-A3B-GGUF,30000000000.0,t4,70.0,unknown,text-generation,285858,4,huggingface
Qwen/Qwen3-VL-235B-A22B-Instruct-FP8,235000000000.0,,,pre-train,image-text-to-text,285739,44,huggingface
google/siglip2-giant-opt-patch16-384,,,,pre-train,zero-shot-image-classification,285687,41,huggingface
facebook/fasttext-language-identification,,,,pre-train,text-classification,285470,268,huggingface
sentence-transformers/paraphrase-albert-small-v2,,,,pre-train,sentence-similarity,285000,11,huggingface
farbodtavakkoli/OTel-LLM-8.3B-IT,8300000000.0,,,fine-tune,text-generation,282680,2,huggingface
vidore/colpali-v1.3-hf,3000000000.0,,,pre-train,visual-document-retrieval,282343,26,huggingface
software-mansion/react-native-executorch-all-MiniLM-L6-v2,,l4,72.0,unknown,unknown,281991,2,huggingface
timm/vit_small_patch16_224.augreg_in21k_ft_in1k,,,,fine-tune,image-classification,281524,4,huggingface
cybersectony/phishing-email-detection-distilbert_v2.4.1,,,,fine-tune,text-classification,281075,26,huggingface
